track_name,artist(s)_name,artist_count,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,major_key,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_none
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,141381703,125,80,89,83,31,0,8,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LALA,Myke Towers,1,133716286,92,71,61,74,7,0,10,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vampire,Olivia Rodrigo,1,140003974,138,51,32,53,17,0,31,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cruel Summer,Taylor Swift,1,800840817,170,55,58,72,11,0,11,15,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHERE SHE GOES,Bad Bunny,1,303236322,144,65,23,80,14,63,11,6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sprinter,"Dave, Central Cee",2,183706234,141,92,66,58,19,0,8,24,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,725980112,148,67,83,76,48,0,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Columbia,Quevedo,1,58149378,100,67,26,71,37,0,11,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fukumean,Gunna,1,95217315,130,85,22,62,12,0,28,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,553634067,170,81,56,48,21,0,8,33,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
un x100to,"Bad Bunny, Grupo Frontera",2,505671438,83,57,56,72,23,0,27,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Super Shy,NewJeans,1,58255150,150,78,52,82,18,0,15,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Flowers,Miley Cyrus,1,1316855716,118,71,65,68,6,0,3,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Daylight,David Kushner,1,387570742,130,51,32,43,83,0,9,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As It Was,Harry Styles,1,2513188493,174,52,66,73,34,0,31,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kill Bill,SZA,1,1163093654,89,64,43,73,5,17,16,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cupid - Twin Ver.,Fifty Fifty,1,496795686,120,78,76,59,43,0,34,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,30546883,78,44,14,9,96,0,10,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Classy 101,"Feid, Young Miko",2,335222234,100,86,67,66,14,0,12,16,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Like Crazy,Jimin,1,363369738,120,63,36,73,0,0,36,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,86444842,140,65,87,74,22,0,42,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,52135248,123,69,82,76,6,0,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I Wanna Be Yours,Arctic Monkeys,1,1297026226,135,48,44,42,12,2,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,200647221,133,85,81,67,26,0,12,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,115364561,99,85,83,68,7,0,36,20,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SABOR FRESA,Fuerza Regida,1,78300654,130,79,96,86,9,0,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,899183384,107,80,82,80,43,0,14,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOJABI GHOST,"Tainy, Bad Bunny",2,61245289,122,81,74,71,14,0,56,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Last Night,Morgan Wallen,1,429829812,204,52,52,68,46,0,15,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dance The Night (From Barbie The Album),Dua Lipa,1,127408954,110,67,78,85,2,0,33,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rush,Troye Sivan,1,22581161,126,74,35,84,0,0,11,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TULUM,"Peso Pluma, Grupo Frontera",2,52294266,168,56,63,87,39,0,11,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,843957510,98,71,17,61,36,0,8,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anti-Hero,Taylor Swift,1,999748277,97,64,51,63,12,0,19,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TQG,"Karol G, Shakira",2,618990393,180,72,61,63,67,0,9,28,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,123122413,120,81,63,68,11,0,11,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,188933502,150,61,39,73,37,0,11,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blank Space,Taylor Swift,1,1355959075,96,75,57,68,9,0,13,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Style,Taylor Swift,1,786181836,95,60,48,79,0,0,12,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TQM,Fuerza Regida,1,176553476,125,79,96,85,27,0,11,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
